Max-min Fairness,M?c ??nh
0,0
3.56,3.564
5.9,5.904
8.45,8.46
11.15,11.16
14.38,14.4
17.91,17.892
20.72,20.736
23.51,23.508
27.37,27.36
15.065,15.084
18.31,17.568
22.63,20.88
26.95,24.12
31.27,28.008
35.59,31.392
37.96,35.028
37.005,36.396
22.605,30.168
14.975,16.02
11.42333333,11.124
15.74333333,13.356
20.06333333,15.912
24.12,19.944
24,22.464
45.16,41.076
43.985,42.624
46.0875,45.432
48.2475,43.704
49.865,46.548
38.74,38.664
42.196,38.844
45.314,41.256
47.906,43.236
50.216,45.108
42.30666667,39.528
42.06666667,38.988
43.15,38.736
45.13,40.716
47.29,43.344
40.20714286,38.196
41.66,40.356
40.21428571,41.796
38.17,41.544
33.9175,35.964
34.8175,35.604
38.0575,34.848
41.6075,35.604
44.69625,37.584
42.13,35.568
43.11333333,37.8
44.07,40.536
45.37,40.752
45.90444444,39.852
40.162,36.144
41.047,37.656
43.063,38.412
46.14,39.06
49.224,40.5
52.80636364,42.696
54.86818182,44.388
55.26090909,45.468
55.39181818,46.836
56.60545455,47.052
50.59916667,42.768
49.12583333,41.292
48.16583333,41.472
50.07833333,42.624
52.62666667,43.488
51.23692308,42.876
52.84692308,45.828
53.29,48.276
55.50153846,50.364
57.44615385,51.66
52.39,47.7
49.64571429,46.728
48.58857143,47.232
48.36571429,48.672
47.76785714,49.716
49.28133333,50.04
50.11666667,50.04
50.40933333,51.336
49.62266667,51.48
48.29333333,51.192
43.213125,46.368
41.605625,42.012
41.77625,38.124
44.438125,36.216
44.58352941,35.28
46.91,35.964
47.64647059,36.72
49.31470588,38.304
50.99411765,40.86
52.93470588,42.732
54.31411765,44.352
56.26235294,45.468
57.78588235,45.972
57.97941176,46.188
57.15833333,44.604
59.61277778,46.62
62.39055556,48.78
64.73,51.084
66.41222222,52.452
64.43263158,51.66
66.66421053,53.388
68.01631579,55.692
67.19631579,57.96
65.44947368,60.012
62.65,61.704
60.76,63.756
60.4805,63.936
60.9615,63.144
60.8865,61.452
62.7845,59.616
63.8525,59.58
63.99,59.436
64.194,59.616
63.819,58.392
64.3665,57.168
64.8645,56.844
65.012,59.22
64.9985,61.2
63.924,62.172
64.5555,62.748
64.485,62.604
64.596,62.208
64.907,61.092
65.5675,60.408
60.776,59.76
62.121,60.012
63.561,59.76
62.3705,59.22
62.075,58.716
62.98,59.364
64.172,60.12
65.1815,60.408
66.383,60.48
66.526,60.84
66.427,62.352
67.046,62.82
68.549,55.836
68.802,56.988
69.293,58.14
70.534,59.364
70.828,59.616
71.0185,60.552
71.4015,61.236
71.6795,61.992
72.8295,62.496
72.568,63.036
72.3845,63.828
71.574,64.26
72.105,65.448
71.9035,65.196
72.4795,63.54
72.61,63.72
72.4725,63.504
72.1125,63.648
71.0465,63.216
70.45,62.532
70.6,63.828
71.8455,64.08
71.7725,63.792
70.8055,64.044
70.3735,63.072
70.6735,62.172
70.7455,62.244
70.4125,62.928
69.4145,62.928
69.794,63.504
70.749,64.62
71.4145,64.8
71.291,65.52
67.927,65.232
68.677,64.728
69.685,63.72
70.508,63.756
70.986,64.116
68.5775,63.792
68.037,60.804
68.325,60.696
68.6915,60.12
69.0995,61.164
69.1475,61.812
69.3025,61.668
68.1505,61.02
67.5385,59.04
68.7625,58.32
70.922,59.04
71.587,58.752
71.334,56.88
71.879,58.572
71.9825,60.156
72.145,61.488
72.393,62.856
71.391,63.036
70.1725,63.144
69.4665,62.244
69.2375,62.388
70.275,62.784
70.0915,62.568
69.481,60.48
68.2495,59.148
65.2095,57.456
62.6155,55.836
60.876,55.368
59.258,56.16
55.545,57.384
51.993,57.816
51.123,58.248
51.3895,57.384
51.808,56.772
52.2205,56.016
51.8355,56.196
52.663,56.088
54.319,56.268
55.8585,54.648
56.1375,55.188
55.5965,56.664
55.6685,56.304
54.906,55.296
52.602,56.808
49.353,58.716
48.982,59.688
48.283,59.652
47.4005,59.472
49.459,57.42
50.3475,56.628
50.482,55.728
51.245,53.928
57.648,52.344
59.029,51.66
61.2425,49.212
63.3075,49.068
64.014,49.212
62.0735,48.384
62.968,48.564
63.2,50.112
63.632,51.804
63.972,52.56
64.6575,53.748
65.2025,56.88
63.9315,56.772
65.879,57.132
66.551,58.068
67.1795,58.536
68.333,58.896
69.845,59.76
70.6885,61.308
69.585,62.676
68.9805,63.432
66.4,63.396
63.688,63.144
60.3465,61.92
59.103,57.816
57.3745,55.98
57.8695,54.468
57.598,52.524
56.973,50.868
55.8525,50.652
54.7215,50.4
54.5775,49.752
54.4335,49.248
55.274,47.592
54.626,46.332
55.5445,45.864
57.1555,46.224
58.201,44.856
59.152,44.424
58.673,45.9
58.0445,47.484
56.435,49.536
55.614,51.228
54.9785,52.236
