maxmin,default
0,0
3.2752,3.564
5.428,5.904
7.774,8.46
10.258,11.16
13.2296,14.4
16.4772,17.892
19.0624,20.736
21.6292,23.508
25.1804,27.36
13.8598,15.084
16.8452,17.568
20.8196,20.88
24.794,24.12
28.7684,28.008
32.7428,31.392
34.9232,35.028
34.0446,36.396
20.7966,30.168
13.777,16.02
10.50946667,11.124
14.48386667,13.356
18.45826667,15.912
22.1904,19.944
22.08,22.464
41.5472,41.076
40.4662,42.624
42.4005,45.432
44.3877,43.704
45.8758,46.548
35.6408,38.664
38.82032,38.844
41.68888,41.256
44.07352,43.236
46.19872,45.108
38.92213333,39.528
38.70133333,38.988
39.698,38.736
41.5196,40.716
43.5068,43.344
36.99057143,38.196
38.3272,40.356
36.99714286,41.796
35.1164,41.544
31.2041,35.964
32.0321,35.604
35.0129,34.848
38.2789,35.604
41.12055,37.584
38.7596,35.568
39.66426667,37.8
40.5444,40.536
41.7404,40.752
42.23208889,39.852
36.94904,36.144
37.76324,37.656
39.61796,38.412
42.4488,39.06
45.28608,40.5
48.58185455,42.696
50.47872727,44.388
50.84003636,45.468
50.96047273,46.836
52.07701818,47.052
46.55123333,42.768
45.19576667,41.292
44.31256667,41.472
46.07206667,42.624
48.41653333,43.488
47.13796923,42.876
48.61916923,45.828
49.0268,48.276
51.06141538,50.364
52.85046154,51.66
48.1988,47.7
45.67405714,46.728
44.70148571,47.232
44.49645714,48.672
43.94642857,49.716
45.33882667,50.04
46.10733333,50.04
46.37658667,51.336
45.65285333,51.48
44.42986667,51.192
39.756075,46.368
38.277175,42.012
38.43415,38.124
40.883075,36.216
41.01684706,35.28
43.1572,35.964
43.83475294,36.72
45.36952941,38.304
46.91458824,40.86
48.69992941,42.732
49.96898824,44.352
51.76136471,45.468
53.16301176,45.972
53.34105882,46.188
52.58566667,44.604
54.84375556,46.62
57.39931111,48.78
59.5516,51.084
61.09924444,52.452
59.27802105,51.66
61.33107368,53.388
62.57501053,55.692
61.82061053,57.96
60.21351579,60.012
57.638,61.704
55.8992,63.756
55.64206,63.936
56.08458,63.144
56.01558,61.452
57.76174,59.616
58.7443,59.58
58.8708,59.436
59.05848,59.616
58.71348,58.392
59.21718,57.168
59.67534,56.844
59.81104,59.22
59.79862,61.2
58.81008,62.172
59.39106,62.748
59.3262,62.604
59.42832,62.208
59.71444,61.092
60.3221,60.408
55.91392,59.76
57.15132,60.012
58.47612,59.76
57.38086,59.22
57.109,58.716
57.9416,59.364
59.03824,60.12
59.96698,60.408
61.07236,60.48
61.20392,60.84
61.11284,62.352
